<<<<<<< HEAD
gamesPerPlayer	avgPerceptualCats	avgLinguisticCats	avgSynonymy	successRate	percOverlap	lingOverlap
=======
gamesPerPlayer	avgPerceptualCats	avgLinguisticCats	avgSynonymy	successRate	percOverlap	lingOverlap
>>>>>>> 66ab75eec27db578f5e086bf638452df1de7b5a4
100	22.37	22.37	12.757052761362784	0.028	0.5831263330254068	0.5831263330254068
200	31.66	31.66	14.846936306280824	0.037	0.5855282308140406	0.585559070540294
300	38.43	38.43	15.363228693354163	0.045	0.5796287238061487	0.5785865380045533
400	44.8	44.8	15.460352062520162	0.044	0.5767428355541129	0.5761899791826722
500	50.2	50.2	15.409970393521316	0.048	0.5767578001109518	0.5754770286650148
600	54.54	54.52	15.12518639691925	0.067	0.575854790358328	0.5757739332517221
700	58.64	58.63	14.706145809419175	0.072	0.575451337997599	0.5745072361795179
800	62.5	62.46	13.938886055260015	0.089	0.5767417221980252	0.5760307564351123
900	66.41	66.31	13.126669003576191	0.108	0.576419402184116	0.5757972129306964
1000	70.15	69.69	12.245946458488142	0.139	0.57722984099154	0.5738552727942577
1100	73.54	72.31	11.198658940909453	0.202	0.5771227114268637	0.5711997248135147
1200	76.34	74.38	10.057044023734923	0.247	0.5765454111188282	0.568202492428563
1300	79.32	75.61	8.95907841641616	0.299	0.5768973623975643	0.5692032114473541
1400	82.24	76.42	7.942042389109556	0.377	0.5764529928985137	0.5695594638663544
1500	85.26	75.53	6.913050668371841	0.428	0.5759809957808981	0.5692479779903661
1600	87.74	74.3	5.980061734845318	0.469	0.5761386165107083	0.5715080403592275
1700	90.28	72.67	5.218267701240763	0.539	0.576680619853998	0.575429269544911
1800	92.58	70.5	4.494416828774366	0.588	0.5758978567233076	0.5787028442462411
1900	94.82	67.79	3.849335795414242	0.646	0.5753220694181675	0.5868106774575939
2000	97.2	65.31	3.3188319841680585	0.702	0.5750935040643619	0.5953637406419976
2100	99.48	64.67	2.912020847995308	0.715	0.5752655698686467	0.595269713901803
2200	101.46	61.11	2.568387896831536	0.753	0.5752703383721237	0.6161128922892256
2300	103.87	59.87	2.2739369885542824	0.762	0.5752049883550354	0.6156305860853687
2400	106.02	58.09	2.0563335872259123	0.782	0.5749527811040385	0.6237360855346102
2500	108.25	57.79	1.904546011574081	0.784	0.5748517185740676	0.6278601111198204
2600	110.23	56.78	1.7848633376605512	0.781	0.5749422639223164	0.6304019038379329
2700	112.25	55.59	1.687430333074095	0.813	0.57489304719718	0.6368006326467227
2800	114.21	54.97	1.6110477350840982	0.839	0.5750811258993175	0.6481907118141732
